Wavelength(nm),Spectral intensity (W m-2 nm-1),Reflection (Total),Reflection (External),Reflection (Escape),Absorption (Substrate),Absorption (Front films),Absorption (Rear films),Absorption (Detached reflector),Transmission,Pathlength enhancement factor (z)
900,0.6526249999999999,0.06394646668913605,0.06394646668913605,0,0.9358157369384995,0,0,0,0,1.3666999302044576
905,0.7506,0.0668585314537309,0.0668585314537309,0,0.9327655860660045,0,0,0,0,1.363829329659354
910,0.663775,0.07892597598479952,0.07892597598479952,0,0.9205338067433615,0,0,0,0,1.3746742042087043
915,0.6442749999999999,0.06723176126967764,0.06723176126967764,0,0.9318057420474077,0,0,0,0,1.3482485041990255
920,0.7137499999999999,0.06439038386517386,0.06439038386517386,0,0.9343770990818665,0,0,0,0,1.3817347945361491
925,0.7253499999999999,0.060463478384799416,0.060463478384799416,0,0.9373350323699812,0,0,0,0,1.349571912164183
930,0.4590249999999999,0.09001924288994206,0.09001924288994206,0,0.9069706725489073,0,0,0,0.00011900028621146668,1.3661833355449917
935,0.195225,0.0772285444289211,0.0772285444289211,0,0.919568254938312,0,0,0,0.00009889379188918098,1.4457241338571878
940,0.364525,0.07580194074193994,0.07580194074193994,0,0.9198796824421824,0,0,0,0.00007042086621116492,1.4665269927446518
945,0.29952499999999993,0.06505147767246981,0.06505147767246981,0,0.9321527700898776,0,0,0,0.00009315876890025929,1.7164777099207127
950,0.33690000000000003,0.06310984493149127,0.06310984493149127,0,0.9359953583250394,0,0,0,0.00010375189588142956,2.23493787559084
955,0.343475,0.09991245221122483,0.09991245221122483,0,0.8987170710183275,0,0,0,0.00014392367990247366,2.2445455697735444
960,0.42742500000000005,0.06631414245171825,0.06631414245171825,0,0.9322881279162072,0,0,0,0,2.427581128760254
965,0.49515000000000003,0.05423925491049509,0.05423925491049509,0,0.9427986543386289,0,0,0,0.0004763532289698894,2.3394174584344474
970,0.66725,0.08464606381273046,0.08464606381273046,0,0.9129706732487607,0,0,0,0.0003146928147701502,2.640637555599784
975,0.596225,0.06989622385989597,0.06989622385989597,0,0.9265769561187002,0,0,0,0.0003901407721827908,2.6758264900081112
980,0.650625,0.07068527951199077,0.07068527951199077,0,0.9246918854409876,0,0,0,0.0008270492792408809,2.7725515817955313
985,0.7152749999999999,0.0667173333214134,0.0667173333214134,0,0.9268432593109176,0,0,0,0.0004771132821566887,2.848977913858039
990,0.7417499999999999,0.09145520622031719,0.08748473748473748,0.003970468735579713,0.9072100640009104,0,0,0,0,3.257974222364096
995,0.7447250000000001,0.06855459727108283,0.062325907160705796,0.006228690110377036,0.9289386281307883,0,0,0,0,3.273891309541748
1000,0.7349749999999999,0.07044448933331715,0.06141037016282183,0.00903411917049532,0.9264266667427674,0,0,0,0.0005163302730276789,3.3998809799029255
1005,0.7136499999999999,0.101760573624454,0.08801846211499055,0.013742111509463445,0.8938971877399394,0,0,0,0.0023012590952619654,3.430177276003081
1010,0.7195750000000001,0.0871829906394427,0.06809464792749265,0.01908834271195005,0.9051754099898333,0,0,0,0.005042503944540821,3.477144160745728
1015,0.7105,0.09227228688186728,0.06448089874247571,0.027791388139391568,0.897972883294347,0,0,0,0.00762307428221359,3.5476220158138476
